Year,Month,Day,Hour,MOL
2018,1,25,22,291.6
2018,1,25,23,113.4
2018,1,26,0,189.9
2018,1,26,1,165.1
2018,1,26,2,18.7
2018,1,26,3,12.1
2018,1,26,4,6.9
2018,1,26,5,14.7
2018,1,26,6,14.7
2018,1,26,7,14.7
2018,1,26,8,148.2
2018,1,26,9,504.5
2018,1,26,10,-117.5
2018,1,26,11,-47.0
2018,1,26,12,-95.1
2018,1,26,13,-152.3
2018,1,26,14,-798.1
2018,1,26,15,602.4
2018,1,26,16,18.9
2018,1,26,17,164.5
2018,1,26,18,32.5
2018,1,26,19,8.1
2018,1,26,20,164.7
2018,1,26,21,55.6
2018,1,26,22,55.5
2018,1,26,23,163.9
2018,1,27,0,225.4
2018,1,27,1,224.7
2018,1,27,2,224.1
2018,1,27,3,214.6
2018,1,27,4,471.0
2018,1,27,5,470.5
2018,1,27,6,447.4
2018,1,27,7,991.7
2018,1,27,8,1077.1
2018,1,27,9,3633.8
2018,1,27,10,-8888.0
2018,1,27,11,-4130.9
2018,1,27,12,-8465.7
2018,1,27,13,-8888.0
2018,1,27,14,-8888.0
2018,1,27,15,4896.2
2018,1,27,16,3338.0
2018,1,27,17,1816.5
2018,1,27,18,1531.3
2018,1,27,19,1219.7
2018,1,27,20,2721.1
2018,1,27,21,1825.0
2018,1,27,22,2723.6
2018,1,27,23,1318.9
2018,1,28,0,1717.5
2018,1,28,1,661.3
2018,1,28,2,
2018,1,28,3,
2018,1,28,4,
2018,1,28,5,928.2
2018,1,28,6,1721.8
2018,1,28,7,2191.2
2018,1,28,8,2447.3
2018,1,28,9,8888.0
2018,1,28,10,-8888.0
2018,1,28,11,-7046.3
2018,1,28,12,-5408.8
2018,1,28,13,-8048.3
2018,1,28,14,-8888.0
2018,1,28,15,5433.1
2018,1,28,16,2192.5
2018,1,28,17,2737.2
2018,1,28,18,7003.8
2018,1,28,19,7001.7
2018,1,28,20,5052.0
2018,1,28,21,4072.9
2018,1,28,22,3359.7
2018,1,28,23,5967.8
2018,1,29,0,6990.7
2018,1,29,1,6988.7
2018,1,29,2,5038.1
2018,1,29,3,6977.7
2018,1,29,4,5033.1
2018,1,29,5,6972.8
2018,1,29,6,5028.6
2018,1,29,7,5025.1
2018,1,29,8,5943.1
2018,1,29,9,-8888.0
2018,1,29,10,-8888.0
2018,1,29,11,-8888.0
2018,1,29,12,-8888.0
2018,1,29,13,-8888.0
2018,1,29,14,-7778.4
2018,1,29,15,8888.0
2018,1,29,16,61.1
2018,1,29,17,294.4
2018,1,29,18,
2018,1,29,19,
2018,1,29,20,
2018,1,29,21,
2018,1,29,22,
2018,1,29,23,
2018,1,30,0,
2018,1,30,1,
2018,1,30,2,
2018,1,30,3,
2018,1,30,4,
2018,1,30,5,
2018,1,30,6,
2018,1,30,7,
2018,1,30,8,8.1
2018,1,30,9,-59.0
2018,1,30,10,-56.3
2018,1,30,11,-126.3
2018,1,30,12,-90.1
2018,1,30,13,-1239.8
2018,1,30,14,-8888.0
2018,1,30,15,2705.5
2018,1,30,16,221.9
2018,1,30,17,293.8
2018,1,30,18,633.4
2018,1,30,19,808.2
2018,1,30,20,807.9
2018,1,30,21,1205.5
2018,1,30,22,812.2
2018,1,30,23,1300.4
2018,1,31,0,4957.9
2018,1,31,1,2681.8
2018,1,31,2,2147.3
2018,1,31,3,2678.8
2018,1,31,4,2143.3
2018,1,31,5,2141.8
2018,1,31,6,3281.3
2018,1,31,7,3279.0
2018,1,31,8,6825.0
2018,1,31,9,-8888.0
2018,1,31,10,-8888.0
2018,1,31,11,-2401.8
2018,1,31,12,-2852.6
2018,1,31,13,-8888.0
2018,1,31,14,-7348.8
2018,1,31,15,
2018,1,31,16,
2018,1,31,17,
2018,1,31,18,
2018,1,31,19,
2018,1,31,20,
2018,1,31,21,
2018,1,31,22,
2018,1,31,23,899.5
2018,2,1,0,2650.8
2018,2,1,1,1281.1
2018,2,1,2,898.3
2018,2,1,3,640.8
2018,2,1,4,2124.4
2018,2,1,5,441.3
2018,2,1,6,269.7
2018,2,1,7,623.4
2018,2,1,8,896.5
2018,2,1,9,-8888.0
2018,2,1,10,-3619.3
2018,2,1,11,-3064.3
2018,2,1,12,-4067.9
2018,2,1,13,-3876.9
2018,2,1,14,-3999.6
2018,2,1,15,2730.3
2018,2,1,16,1298.2
2018,2,1,17,1679.1
2018,2,1,18,2138.3
2018,2,1,19,1291.8
2018,2,1,20,906.5
2018,2,1,21,803.7
2018,2,1,22,1785.6
2018,2,1,23,442.4
2018,2,2,0,647.7
2018,2,2,1,907.8
2018,2,2,2,992.5
2018,2,2,3,1191.3
2018,2,2,4,961.6
2018,2,2,5,800.3
2018,2,2,6,648.4
2018,2,2,7,648.8
2018,2,2,8,648.3
2018,2,2,9,-3471.2
2018,2,2,10,-1222.5
2018,2,2,11,-3362.8
2018,2,2,12,-643.7
2018,2,2,13,-6379.2
2018,2,2,14,-1981.0
2018,2,2,15,1466.0
2018,2,2,16,355.4
2018,2,2,17,292.1
2018,2,2,18,277.6
2018,2,2,19,164.3
2018,2,2,20,163.7
